,docs,target,TR,GF
10,people quickly solve problem determine sphere point suddenly recall problem find ellipse offset example give point offset find original ellipse analytically spend month solve problem analytical method year fail pressure use method nonlinear programming technique deal problem approximately idea greatly appreciate post let share interest,1,"['problem', 'method', 'ellipse', 'point', 'deal', 'technique', 'programming', 'fail', 'pressure', 'use', 'year', 'month', 'example', 'sphere', 'post', 'interest', 'people']","['problem', 'method', 'offset', 'point', 'find', 'ellipse', 'solve']"
11,gay people straight people do not absolutely straighta arrow year old male involve bsa do not care gay people long do not pass summer camp work boss gay pansy way gay know guy do not push respect position bsa teach do not know tolerance meet guy think gay farie bsa teach antibigot,0,"['bsa', 'guy', 'gay', 'people', 'meet', 'male', 'camp', 'summer', 'respect', 'way', 'tolerance', 'work', 'pansy', 'position', 'know', 'boss', 'year', 'farie', 'arrow', 'antibigot']","['gay', 'bsa', 'people', 'teach', 'guy', 'know']"
12,involve distant learning project need jpeg mpeg encodedecode source object code notfor profit project complete hope release educational institutional learning center project require true photographic image send plain telephone line addition real good gui lib object type menu class use end transaction server terminal end like hear recently post rfd announce otg open telematic group concern developement application incorporate naplp jpeg mpeg voice ivr fax sprite animationfli flc etc present do unix environment work hope generate interest major platform accomodate plaform independent apitoolkitsdk mind time project group form deal issue want setup repository file access simte start put otg faq information opinion interest otg community like include faq send email address thank advance box atlanta zyxel epimntlworldstdcom edpimentelgisatlfidonetorg,1,"['project', 'faq', 'end', 'interest', 'group', 'object', 'hope', 'mpeg', 'jpeg', 'atlanta', 'box', 'learning', 'advance', 'zyxel', 'address', 'email', 'access', 'animationfli', 'gui', 'sprite']","['otg', 'project', 'end', 'faq', 'learning', 'interest', 'send', 'object', 'like', 'group', 'hope', 'mpeg', 'jpeg']"
13,peter there s radiosity package ahead problem mile sail let work radiosity package write like public domain ill announce minute finish good news bad news it ll month finish meantime look file radiositycodetarz locate computeccncsuedu location look archie near hope that ll help stephan stephan amann sig computer graphic university berne switzerland amanniamunibech tel fax project radiosity raytrace computer graphic,1,"['radiosity', 'package', 'computer', 'graphic', 'computeccncsuedu', 'stephan', 'location', 'finish', 'news', 'locate', 'announce', 'archie', 'domain', 'berne', 'university', 'switzerland', 'tel', 'amanniamunibech', 'mile', 'fax']","['radiosity', 'stephan', 'news', 'graphic', 'package', 'look', 'computer', 'll', 'finish']"
14,sigkid participation sigkid research showcase learn hip push edge education computer graphic new technology sigkid research showcase provide siggraphs attendee late apply computer technology form state art educational experience hop submit work converge disciplines education computer technology possible category domain include limited interactivestandalone application selfrun demonstration tutorial museum installation groupwarecollaborative system hypermedia virtual reality scientific visualization interactive art microworld deadline submission submit diane schwartz siggraph sigkids committee institute learning sciences maple avenue suite evanston illinois fax schwartzilsnwuedu electronic submission form schwartzilsnwuedu submit fill permission use form page siggraph participation send email schwartzilsnwuedu fax fill sigkid research showcase submission form send abstractdescription submission approximately word follow way send hard copy diane schwartz surface mail address fax copy diane schwartz email copy diane schwartz schwartzilsnwuedu necessary explain project additional support material videotape slide assist selection committee reach decision highly reccommende fax email submission acceptable send submission material form surface mail email fax exception additional support material send surface mail note limited budget submitter choose dedicated machine work pay rental fee hardware personally note contributor outside united states aware custom carrier delay send submission early cut acm siggraph sigkid research showcase entry form copy form accompany proposal submit send sigkid research showcase entrie diane schwartz siggraph sigkids committee institute learning sciences maple avenue suite evanston illinois fax schwartzilsnwuedu print legibly contact information company address city statepostal codecountry daytime phoneevene phone faxemail additional information title theme piece participant name collaborator name hardware platform periferal need supply participant yes dedicated machine yes note limited budget participant pay rental fee dedicated hardware need assistance specify software statement tell significance work word medium describe virtual reality virtual sculpture interactive multimedia installation etc special requirement physical description power dimension authorization permission use visual audio event material acm siggraph sigkid research showcase entry contain work individual organization include copyright musical composition excerpt thereof understand responsibility secure necessary permission andor liscense yes piece contain image audio video component yes yes necessary right andor permission use image audio video component piece conference presentation release signing form grant siggraph permission consider piece sigkid research showcase maintain copyright work receive credit work conference promotional material grant acm siggraph right use slide conference organization publicity future include usage poster brochure catalog promotional item medium broadcast exchange siggraph provide authorartist credit information promotional material yes grant acm siggraph permission use slide work conference organization publicity signaturedate acm siggraph make attempt respect protect intellectual property right people organization prepare material siggraph conference entry form explain use siggraph material require acknowledge permission use material involve seek clearance employer loan material videotape slide form help prevent situation siggraph presentation include material permission lead complaint legal action,1,"['material', 'form', 'work', 'permission', 'submission', 'showcase', 'research', 'fax', 'siggraph', 'piece', 'conference', 'acm', 'hardware', 'information', 'diane', 'organization', 'schwartz', 'installation', 'slide', 'email']","['conference', 'computer', 'technology', 'email', 'participant', 'include', 'promotional', 'organization', 'audio', 'grant', 'right', 'surface', 'mail', 'education', 'video', 'component', 'fill', 'andor', 'image', 'need']"
15,night watch rebroadcast jerry springer talk hear jewel think year old racist focus kid hatred jewish religion stuff delete interesting scary go jews kill god end time race homeland course remain america new jeruselem say gen kid say rest race home great battle plague revel say happen jews kill interesting thing roomate catholic kjv bible desk immediatly open begin search quote passage gen rev john look could not find say see do not know see hear kid quote bible justify racist claim look quote jesus hate jews jesus jew curiousity pique claim jist passage sorry can not recall passage exactly jesus condemn pharisees corrupt course pharisees jewish be not jews jesus condemn power,0,"['jews', 'jesus', 'passage', 'kid', 'race', 'gen', 'course', 'springer', 'talk', 'jewel', 'jerry', 'year', 'pharisees', 'roomate', 'focus', 'catholic', 'thing', 'kjv', 'bible', 'desk']","['jesus', 'jews', 'passage', 'quote', 'pharisees', 'condemn', 'claim', 'look', 'jewish', 'course', 'race', 'kid', 'bible', 'racist', 'kill', 'interesting', 'hear', 'gen']"
16,that s complain intend suggest dec well sgi let tell lynx day prepare large sedative comment dec indicate open vendor support opengl deal sgi annoyed fact lead believe able upgrade multiprocessor version crimson assistance fork lift truck annoy sell personal iris previous site understand architecture flush understand sgi responsible investor show positive quarterly line odd find pressured occasion business book end quarter little tired get boned process maybe lab buy sgis onesie twosie be not entitle peek cover big kid nasa instance lab suspect lot lab organization do not load money spend computer year can not buy new system regular basis box buy pretty entire grant period year case mean need buy good piece equipment money product build paraphrase previous poster word fill niche compete vendor going look box year time look go think sgi well spend money actually money support entirely federal tax dollar you ll pardon hiss fume corner think dark libelous thought spl,1,"['sgi', 'money', 'year', 'lab', 'vendor', 'box', 'fume', 'assistance', 'fork', 'lift', 'truck', 'version', 'annoy', 'corner', 'multiprocessor', 'iris', 'site', 'upgrade', 'lead', 'architecture']","['money', 'lab', 'buy', 'year', 'sgi', 'look', 'understand', 'dec', 'think', 'box', 'spend', 'support', 'vendor', 'previous']"
17,deletion believe god exist do not believe god exist word think statement like god interfere world false meaningless ontology fairly conclude exist meaningless exist pragmatic definition truth exist meaningless make exist logically false problem statement can not disprove subjective god definition case subjective god sense trouble god definition include form objective existence consequence god affect believer derive right interfere life deletion,0,"['god', 'definition', 'statement', 'believer', 'consequence', 'existence', 'derive', 'form', 'problem', 'deletion', 'sense', 'world', 'ontology', 'truth', 'case', 'trouble', 'word', 'life']","['god', 'exist', 'meaningless', 'definition', 'believe', 'subjective', 'deletion', 'interfere', 'statement', 'false']"
18,sean exist sean do not want miniwar go little bit skeptic performance claim centris you ll noflame reserve csma chicago consumer electronic apple booth walk show realtime video capture radious supermac card digitize right spot quicktime movie think quicktime old digitize guy talk xxx play nicely real time guy expand window resize think frame rate decrease notice be not fps fps anymore drop like fps increase bit drop fps ask mac quadra do not know model telling guy quicktime play speed lcii spoil claim quadra mac have little bit trouble be not hardisk memory see new version quicktime hardware assist centris software product run animation like supposedly macromind accelerator do not misunderstand want clarify sake post computer claim tad overscan color computer hardisk fps scala agree consider mpeg stuff think multimedia consumer lowprice box lot market think long cdi,1,"['guy', 'fps', 'claim', 'bit', 'consumer', 'centris', 'computer', 'hardisk', 'quadra', 'mac', 'video', 'box', 'walk', 'lowprice', 'booth', 'digitize', 'capture', 'lot', 'apple', 'talk']","['fps', 'think', 'quicktime', 'sean', 'claim', 'guy', 'computer', 'drop', 'digitize', 'quadra', 'mac', 'consumer', 'hardisk', 'bit', 'like', 'want', 'centris', 'play', 'little']"
19,thank people respond request window screen grabber prove net wonderful thing summary choice screen grabber package corel draw couple simtel cica use builtin printscreen altprintscreen functionality paste screen window clipboard paste clipboard application cool thank info grant mswindows newbie unix bag,1,"['screen', 'grabber', 'window', 'mswindows', 'grant', 'info', 'clipboard', 'thank', 'newbie', 'builtin', 'corel', 'couple', 'functionality', 'cica', 'simtel', 'use', 'paste', 'package', 'thing', 'cool']","['clipboard', 'paste', 'screen', 'thank', 'grabber', 'window']"
20,disagree definition moral early say conscious act definition instinctive behavior pattern act morality try apply human term nonhuman think conscious alternative prevent behavior moral try definition can not show morality think large class princple define term thingsthe law physic wish silly talk moral planet obey law phyic silly talk animal free,0,"['law', 'term', 'talk', 'morality', 'definition', 'behavior', 'act', 'planet', 'obey', 'physic', 'define', 'princple', 'class', 'phyic', 'prevent', 'pattern', 'nonhuman', 'animal']","['moral', 'definition', 'silly', 'act', 'talk', 'law', 'conscious', 'think', 'term', 'behavior', 'try', 'morality']"
21,love love love wish fit sig file keeping list bobby quote sure include flatearther state earth flat fact do not accept think unproven opinion think roundearther right well evidence flatearther can not prove god do not exist argument support god existence weak selfcontradictory go believe god come give reason believe god absolutely can not ignore ago read interesting book fellow call von daenicken prove wildest thing page write like prove be not certainly can not go believe base proof questionable stuff old myth call circumstancial evidence far atheism have not kill regard agreeable fellow,0,"['god', 'evidence', 'fellow', 'earth', 'state', 'bobby', 'keeping', 'list', 'fact', 'proof', 'stuff', 'base', 'myth', 'prove', 'write', 'file', 'page', 'thing', 'von', 'daenicken']","['love', 'god', 'believe', 'prove', 'think', 'fellow', 'evidence', 'flatearther']"
22,couple thing post thread little confusing atheist thing understand process nature exclusively definition include atheist faq think need invoke divine spiritual explanation make big difference claim thing understand natural process claim observation require postulate divine intervention spiritual matter human omnipotent science science advantage theology do not self correct nature judge delightful scientific inquiry reveal self consistent simple picture universe science long bunch separate branch particle physics psychology aspect life universe safe stern stony eye consciousness need recourse divnity describe explain purpose direction event require physics chemistry biology etc random determnine actually determinism indeterminism philosophical question science thing actually superdeterministic think question mean far individual human being apparent free illusion appear perspective bill sure free include human intelligence course product require life evolve acquire intelligence happy accident maybe tell intelligence useful history earth specie able control biosphere result numerous happy accident genetic machinery blindly replicate preserve machinery result principle system start replicate survive do not do not recommend read atheist event preferred say value naturalistic sense think event value perspective value event thing subjectively perspective nature value perspective value arise awareness subjective perspective easy assume people think like position eventually discover golden rule morality necessarily gift heavens fact product evolution aware sense identity helpful allow play role respect identity bill read aristotle try ethica nikomakhea starter atheist judge value basis criticize value ennumerate bible purpose impute god grounds behavior reliogious condemn judge value motivate action standard conduct measure nature serve purpose law nature invoke establish value lewis tell argument main reason abandon atheism christian argument severely flawed value golden rule rational basis like basic idea want live probably root way brain wire lewis ignore real possiblity natural selection favour altruistic behaviour morality human evolve well well building tool well kill logical necessity evolution favour know use tool one people bible reveal nicely morality early jews simple set rule hold people god god care people nation time thing different jews rule empire long simply ignore gentile new situation require new morality new religion bear mutation meme pool event entirely exclusively physical event difference possibly religious meaning gradation value way atheist object behaviour admit objection entirely subjective heshe do not like that s value judgement preface disclaimer matter personal opinion carry weight absolute sense look like have not bother read philosophy observer subjective point view value existence happiness result physical event happiness observer come think absolutely objective sense observer subject moral judgment lose mean possible value simply exist point view include god value personal judgment absolute truth truth exist fact people deliberately want hurt manifestation way fight existence social being think value existence morality property human chimp dolphin specie great care dolphin save human drown good deed do not like god tell people say god god command say electrical event nervous system create emotional state mind couple preexist thoughtset form reaction objection found way you ve condition truth content intellectual landscape illusion virtual reality statement logically follow fact reason believe thought model reality sense convey reliable information solipsism logical possibility likely continuously mix different view subjective point view share objective point view exist observer thinker personal point view matter point view result physical event cease subjective nonobserver nonpoint view value exist pain pleasure beauty love thing inherently subjective god want wife submit husband leap faith unknown want punish do not disagree moral think moral come supreme remove moral mean zombie machine single think god give morality judge disagree fault free replace moral point give moral system disagree one mad god schizophrenic exclude discussion value right wrong goood evil etc participate opinion bible weight whatsoever opinion god matter understand subjective opinion thing matter way credible opinion thing bill note absolute value independent include god god subjective viewpoint point view moral petri,0,"['value', 'god', 'thing', 'event', 'morality', 'way', 'people', 'nature', 'point', 'sense', 'view', 'matter', 'judge', 'science', 'opinion', 'atheist', 'purpose', 'perspective', 'system', 'bill']","['view', 'moral', 'perspective', 'opinion', 'science', 'new', 'intelligence', 'disagree', 'existence', 'truth', 'happiness', 'dolphin', 'claim', 'machinery', 'reality', 'actually', 'identity', 'self', 'process', 'question']"
